bbsku,name,image_original,image_local,image_final,image2_original,image2_local,image2_final,tiling_image,tiling_image_local,tiling_image_final,manufacturer_name,manufacturer_url,manufacturer_collection,manufacturer_color,manufacturer_sku,material_label,sub_material_label,look_label,finish_label,gloss_level,texture_label,form_label,thickness,length,width,lrv,cof,wet_cof,generic_color,shade,shade_variation,edge,end,rating_value,rating_count,commercial,residential_warranty,commercial_warranty,light_commercial_warranty,install_type,sqft_per_carton,weight_per_carton,recommended_grout,notes,slip_resistance,walls,countertops,floors,cabinet_fronts,shower_floors,shower_walls,exterior_walls,exterior_floors,covered_walls,covered_floors,pool_lining
SHW_decorativeaccents_biancocarrara_10.0x11.5x0.375_matte,pearl mosaic hex bianco carrara,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA33A_00150_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesSA33A_00150_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS56P_00150_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/SA33A_00150_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderSA33A_00150_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS56P_00150_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/pearl-mosaic-hex-SA33A/bianco-carrara,decorative accents,bianco carrara,SA33A_00150,natural stone,,geometric pattern,,,matte,mosaic,0.375,10.0,11.5,,,,beige/tan,,,,,,,False,,,,,1 each,,,,False,True,False,True,False,False,False,True,True,False,False,False
SHW_decorativeaccents_cremamarfil_10.0x11.5x0.375_matte,pearl mosaic hex crema marfil,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA33A_00200_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesSA33A_00200_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS56P_00200_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/SA33A_00200_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderSA33A_00200_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS56P_00200_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/pearl-mosaic-hex-SA33A/crema-marfil,decorative accents,crema marfil,SA33A_00200,natural stone,,geometric pattern,,,matte,mosaic,0.375,10.0,11.5,,,,beige/tan,,,,,,,False,,,,,1 each,,,,False,True,False,True,False,False,False,True,True,False,False,False
SHW_decorativeaccents_rockwood_10.0x11.5x0.375_matte,pearl mosaic hex rockwood,"https://shawfloors.scene7.com/is/image/ShawIndustries/SA33A_00500_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesSA33A_00500_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS56P_00500_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/SA33A_00500_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderSA33A_00500_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS56P_00500_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/pearl-mosaic-hex-SA33A/rockwood,decorative accents,rockwood,SA33A_00500,natural stone,,geometric pattern,,,matte,mosaic,0.375,10.0,11.5,,,,grey,,,,,,,False,,,,,1 each,,,,False,True,False,True,False,False,False,True,True,False,False,False
SHW_floortile_limestone_15.75x15.75x0.40625_rustic,stellar 16x16 limestone,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS13V_00100_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS13V_00100_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS13V_00100_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS13V_00100_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS13V_00100_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS13V_00100_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/stellar-16x16-CS13V/limestone,floor tile,limestone,CS13V_00100,porcelain,,stone,,,rustic                        ,,0.40625,15.75,15.75,,,0.42,white,,,,,,,False,,,,,13.77 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_sandstone_15.75x15.75x0.40625_rustic,stellar 16x16 sandstone,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS13V_00200_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS13V_00200_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS13V_00200_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS13V_00200_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS13V_00200_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS13V_00200_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/stellar-16x16-CS13V/sandstone,floor tile,sandstone,CS13V_00200,porcelain,,stone,,,rustic                        ,,0.40625,15.75,15.75,,,0.42,beige/tan,,,,,,,False,,,,,13.77 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_graphite_15.75x15.75x0.40625_rustic,stellar 16x16 graphite,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS13V_00500_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS13V_00500_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS13V_00500_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS13V_00500_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS13V_00500_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS13V_00500_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/stellar-16x16-CS13V/graphite,floor tile,graphite,CS13V_00500,porcelain,,stone,,,rustic                        ,,0.40625,15.75,15.75,,,0.42,grey,,,,,,,False,,,,,13.77 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_meteorite_15.75x15.75x0.40625_rustic,stellar 16x16 meteorite,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS13V_00570_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS13V_00570_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS13V_00570_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS13V_00570_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS13V_00570_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS13V_00570_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/stellar-16x16-CS13V/meteorite,floor tile,meteorite,CS13V_00570,porcelain,,stone,,,rustic                        ,,0.40625,15.75,15.75,,,0.42,grey,,,,,,,False,,,,,13.77 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_sourwood_15.75x2.56x0.375_rustic,timbered 2.5x16 sourwood,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS91W_00750_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS91W_00750_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS91W_00750_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS91W_00750_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS91W_00750_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS91W_00750_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/timbered-2.5x16-CS91W/sourwood,floor tile,sourwood,CS91W_00750,porcelain,,wood,,,rustic                        ,,0.375,15.75,2.56,,,0.42,brown,,,,,,,False,,,,,8.93 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_sourwood_35.43x5.91x0.375_rustic,timbered 6x36 sourwood,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS90W_00750_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS90W_00750_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS90W_00750_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS90W_00750_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS90W_00750_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS90W_00750_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/timbered-6x36-CS90W/sourwood,floor tile,sourwood,CS90W_00750,porcelain,,wood,,,rustic                        ,,0.375,35.43,5.91,,,0.42,brown,,,,,,,False,,,,,13.07 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_walltile_seashell_5.9x2.95x0.3125_antiqued,islander 3x6 wall seashell,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS78X_00158_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS78X_00158_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS78X_00158_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS78X_00158_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS78X_00158_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS78X_00158_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/islander-3x6-wall-CS78X/seashell,wall tile ,seashell,CS78X_00158,ceramic,,shaded / specked,,,antiqued                      ,,0.3125,5.9,2.95,,,,beige/tan,,,,,,,False,,,,,5.38 box,,,,False,True,False,False,False,False,False,False,False,False,False,False
SHW_floortile_bianco_23.74x11.81x0.34375_lightlytextured,tessuto 12x24 bianco,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS69V_00100_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS69V_00100_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS69V_00100_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS69V_00100_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS69V_00100_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS69V_00100_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/tessuto-12x24-CS69V/bianco,floor tile,bianco,CS69V_00100,porcelain,,textile,,,lightly textured              ,,0.34375,23.74,11.81,,,0.42,white,,,,,,,False,,,,,13.56 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_diamante_23.74x11.81x0.34375_lightlytextured,tessuto 12x24 diamante,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS69V_00125_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS69V_00125_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS69V_00125_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS69V_00125_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS69V_00125_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS69V_00125_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/tessuto-12x24-CS69V/diamante,floor tile,diamante,CS69V_00125,porcelain,,textile,,,lightly textured              ,,0.34375,23.74,11.81,,,0.42,beige/tan,,,,,,,False,,,,,13.56 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_sabbia_23.74x11.81x0.34375_lightlytextured,tessuto 12x24 sabbia,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS69V_00200_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS69V_00200_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS69V_00200_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS69V_00200_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS69V_00200_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS69V_00200_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/tessuto-12x24-CS69V/sabbia,floor tile,sabbia,CS69V_00200,porcelain,,textile,,,lightly textured              ,,0.34375,23.74,11.81,,,0.42,beige/tan,,,,,,,False,,,,,13.56 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_grigio_23.74x11.81x0.34375_lightlytextured,tessuto 12x24 grigio,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS69V_00500_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS69V_00500_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS69V_00500_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS69V_00500_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS69V_00500_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS69V_00500_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/tessuto-12x24-CS69V/grigio,floor tile,grigio,CS69V_00500,porcelain,,textile,,,lightly textured              ,,0.34375,23.74,11.81,,,0.42,grey,,,,,,,False,,,,,13.56 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_fumo_23.74x11.81x0.34375_lightlytextured,tessuto 12x24 fumo,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS69V_00550_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS69V_00550_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS69V_00550_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS69V_00550_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS69V_00550_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS69V_00550_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/tessuto-12x24-CS69V/fumo,floor tile,fumo,CS69V_00550,porcelain,,textile,,,lightly textured              ,,0.34375,23.74,11.81,,,0.42,grey,,,,,,,False,,,,,13.56 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
SHW_floortile_bianco_20.16x5.79x0.3125_textured,glee chevron bianco,"https://shawfloors.scene7.com/is/image/ShawIndustries/CS63V_00100_MAIN?id=kcRrj3&amp;fmt=jpg&amp;fit=constrain,1&amp;wid=998&amp;hei=998","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriesCS63V_00100_MAINidkcRrj3amp;fmtjpgamp;fitconstrain,1amp;wid998amp;hei998.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/CS63V_00100_MAINidkcRrj3ampfmtjpgampfitconstrain1ampwid998amphei998.jpg,"https://shawfloors.scene7.com/is/image/ShawIndustries/?src=ir(ShawIndustriesRender/20140404_KITCHEN_2?res=20&src=is(ShawIndustriesRender/CS63V_00100_MAIN))&qlt=60&wid=1000&hei=550&fit=crop,0","D:\BBdata\product_images\httpsshawfloorsscene7comisimageShawIndustriessrcir(ShawIndustriesRender20140404_KITCHEN_2res20srcis(ShawIndustriesRenderCS63V_00100_MAIN))qlt60wid1000hei550fitcrop,0.jpg",https://pixidesk-development-media.s3.amazonaws.com/media/D%3A/BBdata/product_images/httpsshawfloorsscene7comisimageShawIndustriessrcirShawIndustriesRender20140404_KITCHEN_2res20srcisShawIndustriesRenderCS63V_00100_MAINqlt60wid1000hei550fitcrop0.jpg,,,,shaw,https://shawfloors.com/flooring/tile/details/glee-chevron-CS63V/bianco,floor tile,bianco,CS63V_00100,porcelain,,wood,,,textured                      ,,0.3125,20.16,5.79,,,0.42,white,,,,,,,False,,,,,6.48 box,,,,False,True,False,True,False,False,True,True,True,False,False,False
